title,author,type,audience,genre,faust_numbers,isbns,n_loans,top10k
Dyrene i skoven,Anne Möller,Billedbog,"førskoleniveau,børnematerialer",værker af blandet indhold,53127088;52259118;25118596,,1466,9813
Relationer,Anne-Lise Løvlie Schibbye,Bog,"fagligt niveau,voksenmaterialer",psykiatri. klinisk psykologi,28429924;46190262,99121991998105763;99122113498805763;99122680165705763;99122414355005763,1454,9814
Nymåne,Stephenie Meyer,Bog,børnematerialer,dark fantasy,29253145;46535375;27670768;28271190;27993354,99122081386405763,1754,9815
Jernalderen,Emily Bone,Bog,"folkeskoleniveau,børnematerialer",nordens jernalder i alm.,53326374;22825798;39266652;06574076;06062857;05057957;01479865,99122775893405763;99122688673605763,1892,9816
Den farlige rejse,Tove Jansson,Billedbog,børnematerialer,"eventyrlige fortællinger,eventyrvæsener",53032621;53998348;62754281;20677082;05305195,,1918,9817
Børnenes bedste sange,,Billedbog,børnematerialer,"vokalmusik for børn,børnesange",53128041;53127096,,1492,9818
Fornuft og følelse,Jane Austen,Bog,voksenmaterialer,skønlitteratur,52222699;29329397;54197748;53842062;21170933;00152218;20422092;21278904;06433006,,2010,9819
Skytsenglen,"Kevin Frazier,Arto Halonen",Bog,voksenmaterialer,"biografiske romaner,kriminalsager",54168772;29826765;25507282;26087139;24199193,,1417,9820
Syv fantastiske fortællinger,Karen Blixen,Bog,voksenmaterialer,skønlitteratur,54487770;26122821;29423288;26873711;01568647;01568663;01568671;01568698;01568701;01568728,99122916106205763;99122104560605763,2126,9821
Vejen,Lasse Bo Jensen (f. 1963),Bog,voksenmaterialer,skønlitteratur,54071922;27088988;26239362;28120141;134785667;51152573;23728729;01029169;136169114;135262358;04401999;08632510;20371528;00165972;05026148,99121970864105763;9920757799305762;99123914926505763;99124354491805763;99124389794705763;99122256490505763;99122014952305763;99122478247405763,2215,9822
Babettes gæstebud,Karen Blixen,Bog,voksenmaterialer,humor,55126135;25711467;26795044;01678477;05991048;06499775,99122447789905763,1677,9823
Middelalderen,Inger Byrjalsen,Bog,"folkeskoleniveau,børnematerialer",indtil 1536,22449966;47502454;28747616;28927606;27106609;21987484;25941489;22442740;05861888;02323133;06598676,99122846151205763,2057,9824
Mad,Anette Harbech Olesen,Bog,"alment niveau,voksenmaterialer",madlavning,52007216;27590683;53137237;29365334;29869375;22047132;27885470;24894584;53120563;25900790;24342719;24305988;21145491;22304593;26725887;26074738,99122224095805763;99122475304605763;99122198091005763;99121929891405763;99122695700705763;99122660674205763,1380,9825
Columbus,Tommy Heisz,Bog,"folkeskoleniveau,børnematerialer",biografier af enkelte personer,46973119;21579467;28194080;25870034;07205163;28058063;05765404;09249966,99122200971705763,1527,9826
Frida,Nina F. Grünfeld (f. 1966),Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,39576708;46400003;06923828;38879944;21089729;27409652;07055080;43724967;03406407,99122977345705763;99122895145205763;99121967963905763;99121931275405763,1451,9827
Rosens navn,Umberto Eco,Bog,voksenmaterialer,"historiske romaner,krimi",52266300;22188836;50795853;28713851;22441361;06415059;06119301;27988490,,1487,9828
Det lykkelige Arabien,Thorkild Hansen (f. 1927),Bog,"alment niveau,voksenmaterialer",yemen,20605995;135145815;01423908;28228309;07085672;05032660;05486556;41790857;441609,99122213943605763;99122925393205763;99121945578805763;99122091442205763;99122741452205763;99122514893305763;99122835112705763;99122313168205763;99122741445305763;99124387344105763;99122328280405763;99122585357205763;99122608091005763,1453,9829
Rottefængeren fra Hameln,,Billedbog,børnematerialer,"eventyr, historier og fabler,eventyr",51038754;24709744;27833985;21945374;21838136;07016085;05023297;06184774;22010875;04159578,99122893936205763,1476,9830
Forfulgt,Mahtob Mahmoody (f. 1979),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",50694291;51637453;27318800;43363255;27698166;26023548;47612381;24993817;21760986,99122793296205763;99122983310505763;99121955892005763,1409,9831
Spioner,Nils Hartmann,Bog,"folkeskoleniveau,børnematerialer",øvrige militære korps,53782329;39562847;22465775;21910953,99122204622805763,1369,9832
Praktikbogen,"Tekla Canger,Lise Aagaard Kaas",Bog,"fagligt niveau,voksenmaterialer",undervisning i alm.,39231174;52197740;54225784;54243758;52939739;22718142;20851449;26101840,99123812347805763;99122410706905763;99122121320905763;99122368092205763;99122314464705763;9920991395205762,2254,9833
Stadsmusikanterne fra Bremen,,Bog,børnematerialer,"eventyr,fabler",27072763;22598198;24186024;21239623;26679230;29473889;00167517;06214045,99122741191605763,1860,9834
Silke,Bent Haller,Bog,børnematerialer,fantastiske fortællinger,52710952;29017395;27498434;07240104;22899546;23383209;06356680;07271212;07144598;21378399,99122739772005763;99122598537005763,1683,9835
Vredens druer,John Steinbeck,Bog,voksenmaterialer,skønlitteratur,46726251;29512507;38973851;06890261;01799622;05142792;06232299;04136721;04136667,99123780460505763;99122680197805763,2108,9836
Børne- og ungdomspsykiatri,Søren Hertz,Bog,"fagligt niveau,voksenmaterialer",psykiatri. klinisk psykologi,27375642;46386108;22600389;27117465;20357312;22387464;2481077,99122977297905763;99122214838905763;99122064773705763;9920700759105762;99122753733105763;991000970217603861;99122842916005763;99122582559105763;99122366530605763,1599,9837
Efterladt,Cody McFadyen,Bog,voksenmaterialer,krimi,51852583;51697146;29381852;25678982;39265303,99121930156705763,1375,9838
Tokyo,Asger Røjle Christensen,Bog,"alment niveau,voksenmaterialer",japan,47075378;26263417;61843388;26542979;39570483;53648959;55152322;47413907;45707008;47160979;53660614;53681301;45276295;38308238;44904799;46058313;45191486;44542943;27000266;44890291;25548191;43700774;44969440;43797123;44360098;54975805;26245524;44316145;45353257,9920692651505762;99122718949705763;99122886769305763;9920739831205762,1573,9839
Gode kræfter samles,,Bog,børnematerialer,fantasy,24911926;46233506,,1392,9840
Doktor Proktors tidsbadekar,Jo Nesbø,Bog,børnematerialer,humor,27728731;53590802;44748681,,1360,9841
Yoga,Louise Fjendbo Jørgensen,Bog,"alment niveau,voksenmaterialer",yoga. gøsselgymnastik. mensendieck-gymnastik,52377803;27837794;27540864;25485181;20880856;47327547;20596007;53526489;20777982;25933559;48799981;48409423;62748222;05785987;44975823;44257998;01132873;43964895;08506663;05852242;21797588;01744178;22953982;567224;57850;105788;01381946;05090385,99122584925005763;99122304601305763;99122026612105763;99122304641905763;99122935050205763;99122935044605763;99122884562705763;99122852848805763;99122342366205763;99122576039705763;99122537610905763;99122647863105763;99122654763505763;99122512423705763,1596,9842
Spanien,Ole Loumann,Bog,"alment niveau,voksenmaterialer",spanien,27552129;26168511;27947751;26183855;24972593;26608600;52344999;61762515;24166589;23591774;20900687;22851969;01033239;45448053;21143626;04686373,99122632485405763;99122131319705763,1680,9843
"Tante Grøn, tante Brun og tante Lilla",Elsa Beskow,Billedbog,børnematerialer,skønlitteratur,46217357;24816206;01640348;23443627,991000139339703861;99122212663005763,2047,9844
Se på mig,Kirsten Hammann,Bog,voksenmaterialer,"chick lit,humor",28902263;51414357;38735713;05963001,99122613903105763,1553,9845
Det jeg elskede,Siri Hustvedt,Bog,voksenmaterialer,skønlitteratur,25328914;24524027;38881167;27742017;45868648;24870537,99123745822905763;99122292561205763;99122875822805763;99122378603905763,1598,9846
I mørket,Lina Areklew (f. 1979),Bog,voksenmaterialer,krimi,135873918;28975422;46567463;27866263;27648258;50502805;134107057;27997732,99124197026405763;99122161904605763,2128,9847
Svampe,Eva Mosegaard Amdisen,Bog,"folkeskoleniveau,børnematerialer",sporeplanter i alm.,38860631;28303033;21829153;26855594;29489920;44320002;51658922;07207085;01199463,99122931705705763;99122860770005763;99122256286105763,1468,9848
Pingvin,Meredith Costain,Billedbog,børnematerialer,skønlitteratur,29534535;46185722;29986444,,1443,9849
De gode søstre,Leif Davidsen,Bog,voksenmaterialer,skønlitteratur,23422441;29291551;24464679;24331830,99122020793005763,1584,9850
Rollespil,Lasse Højstrup Sørensen,Bog,"folkeskoleniveau,børnematerialer",andre spil,46319222;50793303;51910567;25704606;25468252;07176163;27260993,,1516,9851
Nagirs magt,,Bog,børnematerialer,fantasy,25121821;46233565,,1368,9852
Jane Eyre,Charlotte Brontë,Bog,voksenmaterialer,skønlitteratur,28822359;52639352;05297222;52779413;46298462;47414962;45163032;01265946;44281414;45860302;44396882;43066293;40324461;00197882;23792516;40523316;44426528;02680149;41873590;43720201;53981658;44557169;23791250;01686240;04956567;40835938;44979969;44136724;45215571;04113756;02338777;02487497;08251371;45694925;04430530;43464345;433309;45174689;08288097;07913117;170404;528585;40153950,99122495362105763;99122236004605763;99122897536005763;99122859740505763;9920567679205762,1693,9853
Bæredygtighed,Lone Belling,Bog,"alment niveau,voksenmaterialer",miljø,47260027;51646045;39162024,,1401,9854
Jordens søjler,Ken Follett,Bog,voksenmaterialer,historiske romaner,24809935;53121276;27186327;52545153;22074792;23622386;25199928,,2655,9855
Det sidste kongerige,Bernard Cornwell,Bog,voksenmaterialer,historiske romaner,26237882;52462851;29266506;27339409,99121958810605763,1375,9856
Putins Rusland,,Bog,"fagligt niveau,alment niveau,voksenmaterialer",tiden efter 1991,62712538;25656911;39451824;26706580,99123828656505763;99122952448105763,1459,9857
Racisme,Lene Vendelbo,Bog,"folkeskoleniveau,børnematerialer",socialpsykologi,38613758;54162898;52874262;62115262;22384600;24831477;21297925;23032678,99122615626405763,1956,9858
Broderskabet,Ole Clifford,Bog,voksenmaterialer,spænding,52595959;28496478;47612594;27002927;27882307;28671237;29385823;52446147,,1719,9859
Hus og hjem,Helle Helle,Bog,voksenmaterialer,skønlitteratur,22401343;26778263;52389607;05846625;28957483;23178184,99122368926305763;99122208173905763;99122592583405763;99122425382405763,2380,9860
Til de nysgerrige,Marie D. Christiansen,Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer",livsanskuelse. verdensanskuelse,29965137;52095476;50610616;28914296,,1672,9861
Heidi,,Bog,børnematerialer,landliv,51203615;48471188;26170540;25135881;05950627;28594224;25543742;52465451;01183249;01183486;38248235;04188136;43908480;27167411;04187997;43668013;44631652;22454838;45034151;41094540,99122395434005763;99122769154805763;99122140963205763;99122102558505763;99122443603705763,1662,9862
Sønderjylland,Hans-Jørgen Bonnichsen,Bog,"alment niveau,voksenmaterialer","enkelte lokaliteter uden for københavn,erindringer",48226272;23788829;51363353;26583950;134640596;20972270;26883792;21162361;01225642;28428359;04108531;06531520;08821550;06826199;10377455;21995754;01912860;43344153,9920576256105762;99124242559605763;99122388398505763,2196,9863
Vores mad,Doris Rübel,Billedbog,"folkeskoleniveau,førskoleniveau,børnematerialer","ernæring,løft og kig",29431140;61705619;27572731;22154427;62847743,99124146954305763,1699,9864
Da Vinci mysteriet,Dan Brown,Bog,"børnematerialer,voksenmaterialer",spænding,54235135;53552412;25773551;24930742;25505832;26690129;27606458;26209668;25269322,99122398163805763,1978,9865
Krig,Per Østergaard (f. 1950),Bog,"folkeskoleniveau,børnematerialer",international politik,28773986;47572738;135565016;28412746;52448875;53186408;25229061;06017045;26359678;22181912;25984854;136700146;04103769;02211874,99122288698605763;99122643687405763;99122663185405763;99122361381805763;99122473114205763,1588,9866
Hedebølge,Liza Marklund,Bog,voksenmaterialer,krimi,51782453;29568057;26502896;27486789;23416719;23153467;24240533;136451685;23258110;26347246;06769829;05935954,99121986158905763;99122079595905763;99122569154305763;99122664917505763,1817,9867
Madame Bovary,Gustave Flaubert,Bog,voksenmaterialer,skønlitteratur,29662053;61556583;25418611;26067626;21236160;47246067;07285507;134704802;20289775;46519507;45860000;42760390;01308262;08666563;05359341;02375265;46287843;43476181;42067172;25789458,99122515352205763;99122708437505763;99122977506605763;99122495945405763,2017,9868
Identitet,Svend Brinkmann,Bog,voksenmaterialer,socialpsykologi,27276938;27918026;27192947;28531826;61508554;000097942,99122341765605763;99122126846705763;99122829325005763;99122356439005763,1700,9869
Affald,"Núria Jiménez,Empar Jiménez",Billedbog,"førskoleniveau,folkeskoleniveau,børnematerialer",renovationsvæsen,48848699;28840993;47671809;27899188;26608570;06902839;28509650,,1429,9870
Fødselsdagen,Ulrika Kestere,Billedbog,børnematerialer,skønlitteratur,39096463;28435762;25469003;26644690;21786667;45409112,,1367,9871
Du er ikke alene,Chris MacDonald (f. 1973),Bog,"alment niveau,voksenmaterialer","biografier af enkelte personer,barndomserindringer,erindringer",28756763;51722183;25214536;28867212;50754391;51070003;46605144,99122617049405763;99122198155905763,1586,9872
Den standhaftige tinsoldat,H. C. Andersen (f. 1805),Billedbog,børnematerialer,eventyr,50627934;26208629;24975908;39134551;47672414;25558391;27920748;07272731;20127864;06272851;07198302;23749556;06784267;20847417;25987977;24721418;01122347;01122401,99122869072605763;99123305646505763;99122031608505763;99122491338905763;99122458715405763,2946,9873
Kommunikation i praksis,"Heidi Andersen (f. 1971-05-10),Marianne Leth Jørnø",Bog,"fagligt niveau,voksenmaterialer",kommunikation i alm. information i alm.,48763138;26929423;50634930,99123523421305763;99122895143705763;99122668736305763,1599,9874
Skyggespil,Marianne Toxboe,Bog,voksenmaterialer,skønlitteratur,51581229;39517779;21992496;05028728;05135206;26759005;07516630;21381179;06766420;21729140;06275885,99122594637305763;99122791015605763;99122942173305763;99121962669605763;99121992603005763,1578,9875
Colorado drømme,Jane Aamund,Bog,voksenmaterialer,skønlitteratur,21668540;28816103;22359541;21911526,,1375,9876
Den etiske fordring,K. E. Løgstrup,Bog,"fagligt niveau,voksenmaterialer",etik i alm.,28519931;27159834;07195222;28917732;01549367;04894685,99122226469405763;99122840090405763;99122268068305763;99122142435705763;99122099460505763,1669,9877
Diabetes,Lise Penter Madsen,Bog,"alment niveau,voksenmaterialer",stofskiftets og de endokrine kirtlers sygdomme,47345979;28854218;25546075;26503620;26639565;24340201;45046672;44615932;44974177;45105148,99122303994005763;99122625495405763;99122271705005763;99122270405005763,1799,9878
Dæmonernes by,Cassandra Clare,Bog,børnematerialer,"fantasy,gys,paranormal romance",27116213;50575608;27974864,,1737,9879
Kampvogne,Henry Brook,Bog,"folkeskoleniveau,børnematerialer",militærkøretøjer,52801486;26542987;25370546;27357512,,1673,9880
Fanget,B. A. Paris,Bog,voksenmaterialer,spænding,135567981;54140436;54173032;48927041;26476968;22017055;05452538;04103157,99122675044005763;99122627122905763,2240,9881
Ulvehunden,,Bog,børnematerialer,dyrefortællinger,51252128;39254018;25426053;46239164;23471604;23460548;07308094;06611079;01179853;05554977;05950643;00212652;00167762;04931092;04931114;04438639,99122914927405763;99122473134605763;99122805534005763;99121926382505763;99122432308805763,1670,9882
Birkedal,Peter Øvig Knudsen,Bog,"alment niveau,voksenmaterialer",biografier af enkelte personer,47349354;25463765;26408245;27198902;28007469,,1413,9883
Det forjættede land,Toril Brekke,Bog,voksenmaterialer,"historiske romaner,samfundsskildringer",28870760;51251830;47822947;26614880;46257502;01333259;06189105;10304261;04446550;01346849;607136,99121985151605763;99122535269405763;99122684167705763,1602,9884
Helvig,Winni Østergaard,Bog,voksenmaterialer,"historiske romaner,landliv",47649544;27924212;25767004,99122134654205763,1389,9885
Matilda,Roald Dahl,Bog,børnematerialer,sjove bøger,134693932;26243408;22377221;54966776;06937209;61594132;23793229;40566899;44962454;45118223;42453242;42814040;44938901;135237248;08682844;23690314;41942940,99122553114505763;99122680781805763;99122236861905763;99122302497805763,1792,9886
Sorg,Anna Fiske,Billedbog,"folkeskoleniveau,børnematerialer",emotionspsykologi,46063139;53805027;28239084;135805424;43219898;06292844;23096250,99122790787705763;99122811550005763;99122920328005763,1965,9887
Mod,Debbie Ford,Bog,"alment niveau,voksenmaterialer",praktisk etik i alm.,29839263;38454226;26410312;53374328;03979032;04379918;28529007,99122767862605763;99123652401105763;99122378873805763,1449,9888
Fisk,Anders Uldal,Bog,"folkeskoleniveau,børnematerialer",fisk,26111129;24967530;26845599;26019095;27917836;22591436;25534549;25345037;22410687;20039442;07229046;22435817;21799289;01953117;01219901;05036305;05141419,99122198206605763;99122386843105763,2017,9889
Den afrikanske farm,Karen Blixen,Bog,"alment niveau,voksenmaterialer","kenya,erindringer",54243707;27067999;27306071;25706579;23722496;01899066;44648202,99122121081705763;99122820503705763;99123455714505763;99122168086005763;99122332863505763;99122039171805763;99122473913005763,1669,9890
Hundedage,Rolf Andersen (f. 1954),Bog,"alment niveau,voksenmaterialer",hunde,54686420;52005221;50633993;52822955;51598121,99122756317805763;99122837039605763;99122217296205763;99122055615805763,1457,9891
Hunde og hvalpe,Katherine Starke,Bog,"førskoleniveau,folkeskoleniveau,børnematerialer",hunde,23678616;26801680;51210859,,1644,9892
Gullivers rejser,,Bog,børnematerialer,"fantastiske fortællinger,samfundssatire",50875369;61573135;53658768;22019392;01189638;23431130;00148962;07937202;04481291;04481275,99122961472505763;99122153592305763,1476,9893
Varulven,Per Østergaard (f. 1950),Bog,børnematerialer,"gys,løgnehistorier,sjove bøger",52909112;51204441;22742612;51763467;24620255;26067588;01379100;06419658;24306313;04494970;07246005;01379089;41748575,99122588132005763;9920592716605762;99121971193905763;99121948720805763,1500,9894
Noveller,Helle Helle,Bog,voksenmaterialer,skønlitteratur,50744612;26098785;51053427;27421830;22109022;20942258;05194407;20459689;07324898;24215008;05430569;20018313;52056691;05753406;05704049;04130219;01451154;04123131;05045975;05271908;01272845;10109353;49000405;00885169;21472077;516501,99122013424205763;99123542757105763;99122712865205763;99122265192405763;99122014671205763;99122027945405763;99121951813205763;99122614814905763;99122644855205763,2727,9895
Leg,Dion Sommer,Bog,"fagligt niveau,voksenmaterialer",lege og anden tidkort,48417817;29365377;46538811;29258554;28203667;05423805;41944730,99123440462005763;99122089329905763;991001024419503861,1662,9896
Ole Lund Kirkegaard,Jens Andersen (f. 1955),Bog,"alment niveau,børnematerialer,voksenmaterialer",biografier af enkelte personer,28431880;29095159;52664101;28133065;2401866,99122542295305763,1441,9897
Historien,,Billedbog,børnematerialer,"godnathistorier,spænding",22953427;28034229;135537322;29989729;22192515;38954644;06607918;54053967;01218905,99121944982105763,1563,9898
Den sidste spion,Leif Davidsen,Bog,voksenmaterialer,skønlitteratur,29657874;25081323;23836009;07252250;20207914,99122292886305763;99122502286605763;99122954918605763;99121943504905763,1448,9899
Riddere,Lise Marie Hedemann Møller,Bog,"folkeskoleniveau,børnematerialer",folkeliv. dagligliv,52104041;24607747;26413095;21089885;27135161;24800873;27688667;51441133;21331562,99122888653005763,2032,9900
Kongens Fald,Johannes V. Jensen (f. 1873),Bog,voksenmaterialer,historiske romaner,26666120;46472772;24223566;21490202;22333879;22994050;01363980;20988509;01363972;23239345;06413463;07233841;07301952;40077944;112854509,99122541988405763;99122812152705763;9920644576405762;99122265230105763;99122129005205763;99121916718605763;99122369883705763;99122436389805763,2674,9901
Paradiset,Liza Marklund,Bog,voksenmaterialer,krimi,51782518;29567875;26501393;23391562;23688131;27486797;29068267;50967042;24240584;42321516;23608596;136451588;07259891,99122850994705763;99122642903705763;99121964630005763;99121986283105763,1462,9902
En verdensomsejling under havet,Jules Verne,Bog,børnematerialer,"spænding,søfortællinger",48471714;50829030;24779971;134105798;22500406;22410075;23967677;25994914;01191195;06523811;05016053;22626302;06956696;22077597;05112524;22822322;05037212;00953059;01191209;23543559;04116755;01191233;04116674;01190830,99122708509905763;99122331527705763;99122285511105763;99122109862205763;99122549320605763,2477,9903
Mallorca,Gabriela Kunze,Bog,"alment niveau,voksenmaterialer",enkelte lokaliteter,51255011;62418699;53538819;54122241;45576523;62580712;39434466;27367984;54571968;45758850;45115798;53522343;45191931;42499471;136347527;27242316;44660091;42906123;43840584;45078469;45051102;410752;45211606;44232839;01621475;44588188;45696626,99122911946205763;99122716477505763;99124088425505763;99122954727505763;99122645048605763,3000,9904
Dyrene,,Billedbog,børnematerialer,pegebøger,38549197;62191716;46202414;01995553,99122948611605763,1801,9905
The hunger games,Suzanne Collins,Bog,børnematerialer,engelsk skønlitteratur,44684519;44646218;45363740;44935899;45654206;50959295;51270533,,1586,9906
Vietnamkrigen,Niels Bjerre-Poulsen,Bog,"alment niveau,voksenmaterialer",vietnams historie,51653661;26421691;47417961;25662296;26255449;25978102;26190037;23919508;23934272,,1994,9907
Jerusalem,,Bog,"alment niveau,voksenmaterialer",,51035267;51751361;51042727;28988427;61366741;45378284;61974156;26716640;22299395;21540692;51247604;52551439;28722818;20380411;53449662;01739859;42893390;00492396;45135942;42123366;01808133;23174723;05487978;43495143;22692569;309442,99122857142505763;99122776237405763;99122480005905763;99122758046205763;99122854962705763;99122208914205763;99122308392105763;99122045263405763;99121984286705763;99122025622205763;99122632804505763,1942,9908
Sov godt,,Bog,"alment niveau,voksenmaterialer",nervesygdomme,28565763;38353071;51563859;26332494;52382254;06014542;25535294,99122936786105763;99123359464805763,1514,9909
Jorden rundt i 80 dage,Jules Verne,Bog,børnematerialer,skønlitteratur,48471692;23547414;01190385;136066188;01652958;26060532;22683136;54323328;23395908;05555256;06611451;06339603;05392632;05816653;21077178;01247883;05011779;22822500;01652850;26958636;21388181;26833841;20470011;04188128;29239606,99121926413305763;99122869237405763;99122773464605763;99122829182605763;99122691177405763;99122520475005763;99122431293805763,1615,9910
Sabotage,Lene Møller Jørgensen,Bog,børnematerialer,skønlitteratur,53327907;24895661;27587925;20895624;28203764;05184797;01246542;28175051;04677951;26601711;51661532;52618894,99122054254005763;99122064819805763;99122075326305763,1384,9911
Den styrkede pædagogiske læreplan,Thomas R. S. Albrechtsen,Bog,"fagligt niveau,voksenmaterialer",institutioner for børn i alm.,54792417;38454846;47303966,99122252332705763;99123304072305763;99122110488805763;99123226368105763;99123646151705763,1590,9912
Drageløberen,Khaled Hosseini,Bog,voksenmaterialer,skønlitteratur,26387027;51777417;25133862;25635744;51913760;27082130;51089731;28814496;25327950,99121998639005763,1992,9913
Grundbog i belastningspsykologi,Rikke Høgsted,Bog,"fagligt niveau,voksenmaterialer",kriseterapi. samlivsterapi,61882731;48684785;54596669;46313127,99122127546505763;99123474425405763;99122024963905763;99123924430605763;9921042504305762,1919,9914
Northanger Abbey,Jane Austen,Bog,voksenmaterialer,gotiske fortællinger,54810598;29148171;45169421;45533743;54130058;40242031;44436000;45860078;45821803;44806355;25311515;41400420;49135165;42890383;38683349;41445270,99122863116005763;99122830281105763,1391,9915
Under fuld bedøvelse,Gretelise Holm (f. 1946),Bog,voksenmaterialer,krimi,25724763;54811314;28704739;26204860;27401198;25879961,,1402,9916
Penge,Ulrik T. Skafte,Bog,"folkeskoleniveau,børnematerialer",pengevæsen og kreditforhold i alm.,50634000;62214414;50894967;22629549;05647452;27549446;07283989;29534551;07200390;50898504;04510380;25682459;10406870;05692431;40537554,99122386676605763;99122592749305763;99122105432105763;99122499194305763;99122717156205763;99122051878305763;99122654356405763;99122351547405763,1955,9917
Ekko,Lena Lindgren (f. 1969),Bog,"alment niveau,voksenmaterialer",det sociale net,62427159;26335140;20621176;29913919;20150092;23538792;27206735;23894335;26828481;04453514,99122685246405763;99122497120405763,1933,9918
Borge,Nils Hartmann,Bog,"folkeskoleniveau,børnematerialer",fæstningsanlæg,52448123;61895213;24994481;27699588;27682286;23188562,,1749,9919
Tarot,"Sofie Golodnoff,Ulrik Golodnoff",Bog,"alment niveau,voksenmaterialer",de esoteriske videnskaber,39409976;24297381;53020976;26465893;20954361;46727002;05636043;28998678;20281782;29193681;28467656;38603841;61543848;21255734,99123832763605763;99122690975105763;99122819032605763;99122784373105763;99122845687605763;99122835622105763;99122308760205763;99122342236005763;99122562033005763;99122433014605763,2190,9920
Katte og killinger,Honor Head,Bog,"folkeskoleniveau,børnematerialer",katte,26801702;23264730;51210905,,1393,9921
Canada,Richard Ford,Bog,voksenmaterialer,skønlitteratur,29668337;62117648;45887030;48235719;26467322;48801102;47127718;45553558;23043661;25927036;53431534;45039021;48044603;45868915;06963501;45252841;24166600;44374684;45502996;51511425;48818366;43982036;28584555;45203514;53409636;51245903;45635694;25304888;21132691;25800117;45050734;45238628;01452681;21161810;22607243;42816256;112376011;44900904;43053027;06980821;45548058,99123355590505763;99123358265505763;99122164035605763;99121973093805763;99122694299605763,2089,9922
Den enes død,Michael Connelly,Bog,voksenmaterialer,spænding,28483325;28421648;28800584;07307136,99122440766005763;99122607374405763,1393,9923
Tine,Herman Bang,Bog,voksenmaterialer,skønlitteratur,29663408;38379801;25695437;24276090;06374719;21900974;21090018;05003423;01555847;01262432;08766932;26354110;05586704;01285165;21920541;41142413,99123640811105763;99122154153605763;99122204389205763;99121910762105763,1712,9924
Fake news,"Mads Vestergaard (f. 1979),Vincent F. Hendricks",Bog,"alment niveau,voksenmaterialer",mediesociologi,53330932;46017358;55153760;54055056;53191649,99122417676405763,1372,9925
Klasseledelse,,Bog,"fagligt niveau,voksenmaterialer",skolepsykologi. skolesociologi,51572300;27667996;51658655;27516637;45397890;111986541;112543201,99122356396305763;99121924657605763;99122786739305763,1606,9926
I krig og kærlighed,Régine Deforges,Bog,voksenmaterialer,skønlitteratur,28332440;06414273;25775457;06212352;52336651;27993389;24287203;22545795,99122440047505763;99122879105305763;99122679397205763,1507,9927
Skammerkrigen,Lene Kaaberbøl,Bog,børnematerialer,fantasy,29592969;52244218;52241790;24923703;25844319;26085888,99122441505405763,2169,9928
Babytegn,Kim Anna Rebecca Hansson,Bog,"alment niveau,fagligt niveau,voksenmaterialer",børne- og ungdomspsykologi,51944461;29534721;24273938,SOSUAA00017079,1532,9929
Den kolde krig,Søren Hemmingsen,Bog,"folkeskoleniveau,børnematerialer",1945-1999,47361486;28884583;28796226;26488419;29697302;26960835;26170729;23934264;27330975;05233844;06786138;28336594;25929136;01480162;01011081;46824253,99122988610005763;99122467280505763,2719,9930
Blackout,,Bog,"børnematerialer,voksenmaterialer",young adult,39609002;38344617;26544823;61542701;24030202;28331304;38617508;24719065;22443550;136339311;61738185;61401466;45270033;45091074;45174735;62843217;27173764;411485;25769007,99122701227205763;99122099759605763;99122304684505763;99121965684405763;99122100533105763;99122379194305763,1478,9931
Den udvalgte,Taran Matharu,Bog,børnematerialer,fantasy,38338587;61740015;27030750;28636059;26745780;38911031;29932549;27039677;51086643;01328417;06467725;28097751;40114637;05206502,99122132055305763;99122920894805763;99122773430405763;99122364621705763,2360,9932
Flaskepost fra P,Jussi Adler-Olsen,Bog,voksenmaterialer,"krimi,politiromaner",50710521;46519582;52236797;27925715;28382782;61435573;61435611;52088968;28507712;28713614;28043872,,2438,9933
Toscana,"Camilla Bondo Pedersen,Anne Mette Rosendahl Ariani",Bog,"alment niveau,voksenmaterialer",enkelte lokaliteter,51392965;25710886;62418508;53116515;51249259;27368018;54122071;52313163;22582267;06534406;47487056;01397966;125288944,99122343338705763;99124088424805763;99122060625005763,2301,9934
Rejsen,,Billedbog,børnematerialer,skønlitteratur,51699157;25484541;51606183;38642839;50554503;26652049;22085565;51425855;23548763;27986188;20027584;20410582;24914178;01308963;05524210;54059469;25519221,99122883319905763;99122883325405763;99122807046905763;99122359331305763,1972,9935
Kreativitet,Julia Cameron,Bog,"alment niveau,voksenmaterialer",tænkningens psykologi,46250826;54623607;26410444;22103830;29287333;21042625;48629199;26787920;22455788;01381466;112263284;112228411,99122638555805763;99122483655705763;99122991562005763;99122893326905763;99122087302105763,1758,9936
Skam,,Bog,voksenmaterialer,skønlitteratur,53516076;46313674;53701094;25999487;54955448;61354751;29049297;42709344;21690279;05976588;27543677;112027076;43782525;482979,99122278701405763;99123860192305763;99122574647905763;99122060130505763;99122450221205763;9920666963805762;9920655099305762,2356,9937
Amerikansk fodbold,Lasse Højstrup Sørensen,Bog,"folkeskoleniveau,børnematerialer",fodbold,48707203;47227062;47361575;07304854;07154437;06876749,,1538,9938
Den russiske sangerinde,Leif Davidsen,Bog,voksenmaterialer,spænding,29291594;24715914;23519593;07041756;23836165;06778658;29867631;45792846,,1400,9939
